移动专网,#genre#
湖北卫视,http://111.8.224.6:9902/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://111.8.224.6:9902/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://111.8.224.6:9902/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://111.8.224.6:9902/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://111.8.224.6:9902/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://111.8.224.6:9902/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://111.8.224.6:9902/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://111.8.224.6:9902/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://111.8.224.6:9902/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://111.8.224.6:9902/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://111.8.224.6:9902/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://111.8.224.6:9902/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://111.8.224.6:9902/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://111.8.224.6:9902/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://111.8.224.6:9902/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://111.8.224.6:9902/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://111.8.224.6:9902/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://111.8.224.6:9902/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://111.8.224.6:9902/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://111.8.224.6:9902/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://111.8.224.6:9902/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://111.8.224.6:9902/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
